dep_orbit_id,arr_orbit_id,n_impulse,TOF,DV_total,departure_phase,arrival_phase,dv1_x,dv1_y,dv1_z,dv2_x,dv2_y,dv2_z,dv3_x,dv3_y,dv3_z,dv1_mag,dv2_mag,dv3_mag,t_leg1,t_leg2,min_moon_dist,lunar_valid,chain_id,position_residual,node_residual,tof_idx,delta_C,rank,seeds_converged
L1_Lyapunov_01,L2_Lyapunov_01,3,0.100000000000,0.311269870688,0.676609397987,0.827770607104,0.0165649888342,0.165398742905,-4.10148696893e-8,-9.28492700780e-9,4.92465728225e-7,6.08747156414e-8,-0.00175085710503,0.145032626181,-1.99689735684e-8,0.166226180277,4.96300749898e-7,0.145043194110,0.0327239032596,0.0672760967404,0.262008523394,true,236,3.64770843588e-14,1.19338140626e-14,1,-0.0000545618285099,1,395
L1_Lyapunov_01,L2_Lyapunov_01,3,0.100000000000,0.311270311338,0.676356498283,0.827529616220,0.0164054611498,0.162041029459,-1.23774256919e-8,7.56742568747e-8,9.19895065852e-7,1.86616450835e-8,-0.00159611148564,0.148391426149,-6.31820770778e-9,0.162869378288,9.23191086574e-7,0.148400009860,0.0337752643276,0.0662247356724,0.262117141952,true,312,1.24126707702e-16,1.24126708561e-16,1,-0.0000545618285099,2,395
L1_Lyapunov_01,L2_Lyapunov_01,3,0.100000000000,0.311271294578,0.676080361377,0.827262865697,0.0162523094804,0.158347685096,-1.58359930315e-8,5.56046425570e-8,7.38909959813e-7,2.39160649311e-8,-0.00144880908123,0.152084109315,-8.12369475032e-9,0.159179543091,7.41385043784e-7,0.152091010102,0.0338859102314,0.0661140897686,0.261900848091,true,257,5.21984134885e-13,4.73376319844e-13,1,-0.0000545618285099,3,395
L1_Lyapunov_01,L2_Lyapunov_01,3,0.158612928433,0.308392546387,0.671734946042,0.832149756756,0.0206978093687,0.158217568385,2.07512490991e-8,-7.09045807346e-8,5.42500829640e-7,-3.13604767003e-8,-0.00639580985917,0.148688849938,1.07561991312e-8,0.159565655008,5.48012854985e-7,0.148826343366,0.0540687449826,0.104544183451,0.258432392755,true,375,4.54019890912e-15,2.51695357621e-15,2,-0.0000545618285099,1,393
L1_Lyapunov_01,L2_Lyapunov_01,3,0.158612928433,0.308392935482,0.672113737767,0.832544670769,0.0207258024570,0.161518008196,-3.83595000513e-10,-1.43266006558e-8,6.96337030389e-7,5.79206295347e-10,-0.00640711791244,0.145408815347,-1.98324458601e-10,0.162842334358,6.96484635047e-7,0.145549904639,0.0539881727804,0.104624755653,0.258411842149,true,331,8.96648604898e-13,8.09725280418e-13,2,-0.0000545618285099,2,393
L1_Lyapunov_01,L2_Lyapunov_01,3,0.158612928433,0.308393071810,0.671335654555,0.831789143627,0.0204636919785,0.155010255186,2.23465891798e-8,-8.33006258139e-8,7.14373214588e-7,-3.35662887263e-8,-0.00616758922937,0.151912023407,1.13760740218e-8,0.156355178687,7.19996374797e-7,0.152037173127,0.0534259181234,0.105187010310,0.258107588690,true,248,3.72380389113e-16,3.51086758011e-16,2,-0.0000545618285099,3,393
L1_Lyapunov_01,L2_Lyapunov_01,3,0.217225856867,0.304434053535,0.667543404117,0.836108834291,0.0235912805011,0.153974226826,-1.55787454279e-8,4.23081564366e-8,2.24443733539e-7,2.33669865174e-8,-0.00990923520402,0.148332181206,-7.99637388814e-9,0.155771021190,2.29588731616e-7,0.148662802757,0.0734702569576,0.143755599909,0.254971841007,true,219,6.69860713709e-14,4.74770202225e-14,3,-0.0000545618285099,1,393
L1_Lyapunov_01,L2_Lyapunov_01,3,0.217225856867,0.304442026363,0.666862600107,0.835514395430,0.0232465811543,0.150241737858,1.45400243144e-8,3.70606102890e-8,4.48756594638e-7,-2.16309421480e-8,-0.00959349657088,0.152109799500,7.28200031014e-9,0.152029547556,4.50803579981e-7,0.152412028004,0.0722732424688,0.144952614398,0.254399157770,true,256,1.21751813395e-14,9.55433683864e-15,3,-0.0000545618285099,2,393
L1_Lyapunov_01,L2_Lyapunov_01,3,0.217225856867,0.304455843939,0.668247787497,0.836906835960,0.0235047584813,0.158572271423,5.71401013984e-9,9.01916780288e-8,4.41916231041e-7,-8.66275429795e-9,-0.00976604335600,0.143819361661,3.02673065913e-9,0.160304831292,4.51109229961e-7,0.144150561537,0.0750169883733,0.142208868493,0.255015508039,true,270,3.07323318391e-15,3.51302753231e-15,3,-0.0000545618285099,3,393
L1_Lyapunov_01,L2_Lyapunov_01,3,0.275838785300,0.299635882530,0.663623115752,0.839053359405,0.0267262513502,0.148174685224,2.76522386204e-7,-4.70603933544e-7,6.37554888961e-7,-4.14285810255e-7,-0.0138880242696,0.148420940808,1.43825787354e-7,0.150565699455,8.94190713038e-7,0.149069288884,0.0939504316199,0.181888353680,0.251633669484,true,327,6.56241100561e-15,1.34148778205e-15,4,-0.0000545618285099,1,393
