dep_orbit_id,arr_orbit_id,n_impulse,TOF,DV_total,departure_phase,arrival_phase,dv1_x,dv1_y,dv1_z,dv2_x,dv2_y,dv2_z,dv1_mag,dv2_mag,t_leg1,min_moon_dist,lunar_valid,chain_id,position_residual,node_residual,tof_idx,delta_C,rank,seeds_converged
L1_Lyapunov_01,L2_Lyapunov_01,2,0.100000000000,0.311269854359,0.676618985015,0.827777771883,0.0165824404965,0.165511343744,-2.37938225513e-23,-0.00176854740630,0.144919103517,2.14845881938e-23,0.166339959844,0.144929894515,0.100000000000,0.262003259269,true,1420,1.87080663676e-10,0,1,-0.0000545618285099,1,2498
L1_Lyapunov_01,L2_Lyapunov_01,2,0.100000000000,0.311308659578,0.297835089552,0.191666664650,0.00173250356591,0.148442092566,-1.75203306193e-23,-0.0165541910591,0.162012914254,1.97621819907e-23,0.148452202455,0.162856457123,0.100000000000,0.278812824761,true,902,5.92059015555e-10,0,1,-0.0000545618285099,2,2498
L1_Lyapunov_01,L2_Lyapunov_01,2,0.100000000000,0.311453210904,0.679000536492,0.830561167609,0.0158321789630,0.201440950329,-2.40127591158e-23,-0.000909393496243,0.109387276143,2.17414249354e-23,0.202062154696,0.109391056209,0.100000000000,0.259883253500,true,1560,4.57756679852e-16,0,1,-0.0000545618285099,3,2498
L1_Lyapunov_01,L2_Lyapunov_01,2,0.158612928433,0.308392498070,0.671756482091,0.832186585048,0.0206465006743,0.158475807198,-1.55469634181e-23,-0.00634059408562,0.148442063922,1.32649411877e-23,0.159815078942,0.148577419128,0.158612928433,0.258449882179,true,1943,5.49295281513e-13,0,2,-0.0000545618285099,1,2483
L1_Lyapunov_01,L2_Lyapunov_01,2,0.158612928433,0.308393223949,0.672222220749,0.832654558658,0.0207456067835,0.162448016538,-1.55724835323e-23,-0.00642281374419,0.144483205772,1.32979894952e-23,0.163767329703,0.144625894246,0.158612928433,0.258324949937,true,548,1.33564028894e-14,0,2,-0.0000545618285099,2,2483
L1_Lyapunov_01,L2_Lyapunov_01,2,0.158612928433,0.308549552803,0.289054134507,0.199999995672,0.00638073623224,0.149543572838,-1.07798737880e-23,-0.0207455020868,0.157509599822,1.29976883333e-23,0.149679637800,0.158869915003,0.158612928433,0.283471725247,true,582,7.49948680093e-10,0,2,-0.0000545618285099,3,2483
L1_Lyapunov_01,L2_Lyapunov_01,2,0.217225856867,0.304434004943,0.667559655848,0.836111105869,0.0236327593744,0.154021615489,-1.17718949930e-23,-0.00995275378097,0.148276201835,9.52656343627e-24,0.155824148814,0.148609856129,0.217225856867,0.254985475579,true,1317,9.36424550554e-10,0,3,-0.0000545618285099,1,2482
L1_Lyapunov_01,L2_Lyapunov_01,2,0.217225856867,0.304727088630,0.672230278522,0.840237036767,0.0265027472210,0.180146801384,-1.19395761186e-23,-0.0126857220378,0.121983359038,9.77178155488e-24,0.182085874408,0.122641214222,0.217225856867,0.252251318134,true,242,8.68886953637e-16,0,3,-0.0000545618285099,2,2482
L1_Lyapunov_01,L2_Lyapunov_01,2,0.217225856867,0.304852493103,0.279116497299,0.208333347486,0.0101399493893,0.145422869869,-7.74383084578e-24,-0.0240030948017,0.157255193115,9.92318931240e-24,0.145775957053,0.159076536050,0.217225856867,0.287603522157,true,984,4.36756206808e-10,0,3,-0.0000545618285099,3,2482
L1_Lyapunov_01,L2_Lyapunov_01,2,0.275838785300,0.299630486566,0.663888885438,0.839567492252,0.0262102724658,0.150101800048,-9.61053478912e-24,-0.0132939835290,0.146656195371,7.40926774795e-24,0.152372992228,0.147257494338,0.275838785300,0.251863067371,true,1074,4.51733139352e-10,0,4,-0.0000545618285099,1,2483
L1_Lyapunov_01,L2_Lyapunov_01,2,0.275838785300,0.300078613116,0.670278685101,0.844445998200,0.0310846397360,0.174755407860,-9.77067873081e-24,-0.0179517410396,0.121258509389,7.67790865375e-24,0.177498471553,0.122580141563,0.275838785300,0.248779117927,true,337,1.38777878078e-16,0,4,-0.0000545618285099,2,2483
L1_Lyapunov_01,L2_Lyapunov_01,2,0.275838785300,0.300414770409,0.269444434704,0.217881723030,0.0132565605556,0.145346325185,-5.99741964161e-24,-0.0265174731993,0.152171966197,8.14130121442e-24,0.145949616795,0.154465153614,0.275838785300,0.291675242919,true,1416,2.55812397327e-10,0,4,-0.0000545618285099,3,2483
L1_Lyapunov_01,L2_Lyapunov_01,2,0.334451713734,0.294155078981,0.661111110313,0.843632860640,0.0275456097784,0.149031835483,-8.21781165796e-24,-0.0152967702946,0.141776162660,6.07534874443e-24,0.151556090625,0.142598988356,0.334451713734,0.249443287668,true,1810,6.08048357180e-10,0,5,-0.0000545618285099,1,2484
L1_Lyapunov_01,L2_Lyapunov_01,2,0.334451713734,0.295425313491,0.258333301964,0.226766520623,0.0160835723157,0.140431970808,-4.91931418716e-24,-0.0288570936908,0.151348846700,7.00877608905e-24,0.141349990179,0.154075323312,0.334451713734,0.294859131190,true,314,8.19471370012e-10,0,5,-0.0000545618285099,2,2484
L1_Lyapunov_01,L2_Lyapunov_01,2,0.334451713734,0.301370133593,0.240157787700,0.199999992880,0.00917015202575,0.0572061377650,-5.50024274948e-24,-0.0245231385382,0.242195307678,7.35678883293e-24,0.0579364642187,0.243433669374,0.334451713734,0.283326919659,true,2222,2.00148302124e-16,0,5,-0.0000545618285099,3,2484
L1_Lyapunov_01,L2_Lyapunov_01,2,0.393064642167,0.288167001675,0.658333339239,0.847222216600,0.0285559784763,0.146172331134,-7.23219124823e-24,-0.0170040279284,0.138189231428,5.14808920964e-24,0.148935537385,0.139231464290,0.393064642167,0.246526171072,true,1865,9.56927168060e-10,0,6,-0.0000545618285099,1,2469
L1_Lyapunov_01,L2_Lyapunov_01,2,0.393064642167,0.290035087265,0.247336244558,0.236111076901,0.0180666804397,0.137131125386,-4.16772860958e-24,-0.0304366675711,0.148634628253,6.20304569566e-24,0.138316125205,0.151718962061,0.393064642167,0.297594470661,true,714,1.09056301712e-9,0,6,-0.0000545618285099,2,2469
L1_Lyapunov_01,L2_Lyapunov_01,2,0.393064642167,0.299539592498,0.224512743537,0.199999994102,0.00897846765161,0.0466323356669,-4.79146285089e-24,-0.0250464066675,0.250803252823,6.52958905966e-24,0.0474888156424,0.252050776855,0.393064642167,0.283281797055,true,1552,3.01190329300e-14,0,6,-0.0000545618285099,3,2469
L1_Lyapunov_01,L2_Lyapunov_01,2,0.451677570600,0.281827913461,0.655555521996,0.850553403223,0.0292199442846,0.142627835217,-6.49532145663e-24,-0.0183769709889,0.134992604253,4.46922474573e-24,0.145590193773,0.136237719688,0.451677570600,0.243625443634,true,1675,8.90816302030e-10,0,7,-0.0000545618285099,1,2479
L1_Lyapunov_01,L2_Lyapunov_01,2,0.451677570600,0.284381687710,0.235351965337,0.244444455856,0.0190191459067,0.131600479681,-3.64484490569e-24,-0.0313462212771,0.148133738505,5.61162664830e-24,0.132967718500,0.151413969210,0.451677570600,0.299490289401,true,960,2.65631093130e-10,0,7,-0.0000545618285099,2,2479
L1_Lyapunov_01,L2_Lyapunov_01,2,0.451677570600,0.297780167499,0.199992175418,0.216666646752,0.0413555275553,0.0608232103039,-4.48518111286e-24,-0.0594804487880,0.216196246963,5.94502188010e-24,0.0735509522104,0.224229215289,0.451677570600,0.290915492744,true,795,2.98936698014e-16,0,7,-0.0000545618285099,3,2479
L1_Lyapunov_01,L2_Lyapunov_01,2,0.510290499034,0.275221225922,0.654071893163,0.855555549215,0.0290765501818,0.142152071047,-5.93005470504e-24,-0.0185098748013,0.128802683491,3.98757173186e-24,0.145095337876,0.130125888046,0.510290499034,0.239069088099,true,2334,8.02041177914e-10,0,8,-0.0000545618285099,1,2440
L1_Lyapunov_01,L2_Lyapunov_01,2,0.510290499034,0.278548595015,0.222956249060,0.252777814614,0.0199603036074,0.126498159649,-3.25972324037e-24,-0.0324487728904,0.146945274567,5.14996247248e-24,0.128063258255,0.150485336760,0.510290499034,0.300888835567,true,20,6.28083522492e-10,0,8,-0.0000545618285099,2,2440
L1_Lyapunov_01,L2_Lyapunov_01,2,0.510290499034,0.282473966856,0.199978532135,0.233333381715,0.0289590161165,0.0851273286502,-3.76538410244e-24,-0.0459092649741,0.187002818587,5.32560990587e-24,0.0899182222775,0.192555744578,0.510290499034,0.296646796664,true,390,2.48253415325e-16,0,8,-0.0000545618285099,3,2440
L1_Lyapunov_01,L2_Lyapunov_01,2,0.568903427467,0.268436346247,0.650499096134,0.858333331006,0.0286148208018,0.136881677449,-5.46200532418e-24,-0.0187140068929,0.127226743944,3.56298925174e-24,0.139840629256,0.128595716991,0.568903427467,0.236501274586,true,2434,8.41033956994e-10,0,9,-0.0000545618285099,1,2439
L1_Lyapunov_01,L2_Lyapunov_01,2,0.568903427467,0.268458559175,0.652777784864,0.860733626933,0.0288286147512,0.141071583565,-5.47183580296e-24,-0.0183970210263,0.123104416814,3.61870241921e-24,0.143987085247,0.124471473928,0.568903427467,0.234126344481,true,389,1.91304053210e-10,0,9,-0.0000545618285099,2,2439
L1_Lyapunov_01,L2_Lyapunov_01,2,0.568903427467,0.272606179823,0.210651246853,0.261111112243,0.0202320453295,0.122226027332,-2.96042290760e-24,-0.0331309973564,0.144979560123,4.77251970926e-24,0.123889214283,0.148716965540,0.568903427467,0.301808647941,true,151,5.51909017767e-10,0,9,-0.0000545618285099,3,2439
L1_Lyapunov_01,L2_Lyapunov_01,2,0.627516355900,0.261550654911,0.649627306378,0.863888871635,0.0283918743406,0.136141983009,-5.08499676295e-24,-0.0184582355200,0.121080815119,3.28472311645e-24,0.139070982114,0.122479672797,0.627516355900,0.231081672945,true,23,9.79314191007e-10,0,10,-0.0000545618285099,1,2476
L1_Lyapunov_01,L2_Lyapunov_01,2,0.627516355900,0.266612461681,0.198095198850,0.269444448278,0.0204803691161,0.118281632910,-2.73031083165e-24,-0.0340351150125,0.142564452018,4.45701221290e-24,0.120041618629,0.146570843052,0.627516355900,0.302266386297,true,683,1.32500761449e-9,0,10,-0.0000545618285099,2,2476
L1_Lyapunov_01,L2_Lyapunov_01,2,0.627516355900,0.266689803902,0.194671695342,0.266666687093,0.0212391123698,0.113715818274,-2.79681252657e-24,-0.0356439009474,0.146740546906,4.47288072809e-24,0.115682268391,0.151007535511,0.627516355900,0.302130392020,true,191,3.30399555522e-14,0,10,-0.0000545618285099,3,2476
L1_Lyapunov_01,L2_Lyapunov_01,2,0.686129284334,0.254609316908,0.645651511271,0.866666690190,0.0273304007288,0.130812928799,-4.75975908904e-24,-0.0179632580659,0.119630720653,2.99559455684e-24,0.133637469090,0.120971847817,0.686129284334,0.228341953890,true,1639,1.01045158381e-9,0,11,-0.0000545618285099,1,2478
L1_Lyapunov_01,L2_Lyapunov_01,2,0.686129284334,0.260614621950,0.185703340106,0.277777784009,0.0202181828917,0.114878882760,-2.54515533054e-24,-0.0346623610653,0.139735196279,4.18497355679e-24,0.116644471037,0.143970150912,0.686129284334,0.302270573279,true,952,1.31767477628e-10,0,11,-0.0000545618285099,2,2478
L1_Lyapunov_01,L2_Lyapunov_01,2,0.686129284334,0.260699194153,0.181613194083,0.274999676059,0.0216836015639,0.110557995953,-2.61984812875e-24,-0.0371677956535,0.143292982637,4.19620419735e-24,0.112664320199,0.148034873954,0.686129284334,0.302287482538,true,84,3.91495300238e-11,0,11,-0.0000545618285099,3,2478
