dep_orbit_id,arr_orbit_id,n_impulse,TOF,DV_total,departure_phase,arrival_phase,dv1_x,dv1_y,dv1_z,dv2_x,dv2_y,dv2_z,dv3_x,dv3_y,dv3_z,dv1_mag,dv2_mag,dv3_mag,t_leg1,t_leg2,min_moon_dist,lunar_valid,chain_id,position_residual,node_residual,tof_idx,delta_C,rank,seeds_converged
L1_Lyapunov_01,L2_Halo_01,3,0.100000000000,1.09637196418,0.534574795466,0.432751223156,0.200116904087,0.462182580351,-0.105192008100,8.56605869570e-9,2.74357835270e-8,4.73561544700e-8,-0.479744293691,0.191402200971,-0.267897354831,0.514514209181,5.53958928578e-8,0.581857699607,0.0339012421088,0.0660987578912,0.0802531206448,true,156,2.88890214578e-15,2.42452430593e-16,1,0.0159136083664,1,397
L1_Lyapunov_01,L2_Halo_01,3,0.100000000000,1.10049431885,0.438726691301,0.603130343377,0.466839888346,0.177700760091,0.254848553713,4.84551637703e-9,6.86830838592e-8,-1.96804492147e-8,-0.196462725669,0.490327187280,0.110824838422,0.560771635175,7.16112080520e-8,0.539722612065,0.0412795471505,0.0587204528495,0.110925310341,true,291,4.15705226221e-14,5.10848596285e-14,1,0.0159136083664,2,397
L1_Lyapunov_01,L2_Halo_01,3,0.100000000000,1.70118767663,0.485556096452,0.523528020658,0.823899373424,-0.0156844894385,0.118533483150,5.30748147515e-8,-7.41062089471e-7,0.00000421620678071,-0.0326700010695,-0.102762685638,0.861934480823,0.832530099976,0.00000428116684726,0.868653295487,0.0841533845822,0.0158466154178,0.00205737758325,false,106,6.54827921323e-14,3.20863529927e-11,1,0.0159136083664,3,397
L1_Lyapunov_01,L2_Halo_01,3,0.152938570385,0.899218569554,0.528021075376,0.431988958971,0.0892150600125,0.333309325448,-0.0678733254931,1.12883680181e-9,2.07386593731e-8,2.55254588577e-8,-0.372007545110,0.253259799332,-0.311922609153,0.351654975334,3.29076786634e-8,0.547563561313,0.0518935368482,0.101045033537,0.0777566223045,true,252,8.60087025620e-16,5.69798570745e-16,2,0.0159136083664,1,392
L1_Lyapunov_01,L2_Halo_01,3,0.152938570385,0.911777939718,0.428919244265,0.621330223693,0.335773226170,0.199997404155,0.275405044247,1.45638064691e-7,1.56609359064e-7,2.19241963528e-7,-0.0696094357415,0.419128863518,0.0869015541132,0.478111450896,3.06274347286e-7,0.433666182547,0.0497704417064,0.103168128678,0.122297327316,true,310,1.83323423298e-15,4.76518782115e-16,2,0.0159136083664,2,392
L1_Lyapunov_01,L2_Halo_01,3,0.152938570385,1.07509097911,0.481200064744,0.536963284606,0.516510555335,0.0871951511103,0.0987490831572,1.91906247005e-7,1.69389871019e-7,1.31573396137e-8,0.0136285993061,-0.0560709012920,0.538965039636,0.533045522984,2.56308508694e-7,0.542045199813,0.0559146848888,0.0970238854959,0.00269345196728,false,170,1.27202054684e-13,4.77928824163e-15,2,0.0159136083664,3,392
L1_Lyapunov_01,L2_Halo_01,3,0.205877140769,0.793788119512,0.519444326350,0.427195300775,0.0415626960722,0.229845525002,-0.0300304128885,-7.68734353951e-10,2.56650349306e-8,2.46487015104e-8,-0.332022741549,0.283084710788,-0.348301987566,0.235495751059,3.55927444383e-8,0.558292332860,0.0696810946018,0.136196046168,0.0646924910436,true,114,2.53740713359e-15,2.93395980145e-15,3,0.0159136083664,1,382
L1_Lyapunov_01,L2_Halo_01,3,0.205877140769,0.821706565401,0.419443807732,0.639162944166,0.269669659218,0.203356591967,0.282317602731,9.20751942468e-8,1.08462330006e-7,3.98588751449e-8,-0.00832945458561,0.373978096954,0.0749380287724,0.440203200138,1.47751982571e-7,0.381503217512,0.0689429030510,0.136934237719,0.132817534293,true,343,2.02717965464e-14,1.05383324660e-14,3,0.0159136083664,2,382
L1_Lyapunov_01,L2_Halo_01,3,0.205877140769,0.837939099921,0.475785183747,0.548907986401,0.386542251480,0.137950245097,0.0703323299152,4.12822969642e-7,3.81987176334e-7,-9.28915474402e-8,0.0172841496968,-0.0127468115479,0.420987666012,0.416403432903,5.70057757367e-7,0.421535096961,0.0721065928928,0.133770547877,0.00238897487397,false,252,1.72075793725e-13,1.11830582276e-14,3,0.0159136083664,3,382
L1_Lyapunov_01,L2_Halo_01,3,0.258815711154,0.721478457463,0.512410498694,0.421060584504,0.00393362835088,0.169914200191,0.00315276238952,-1.25374644694e-7,8.64439845816e-8,-1.57608917188e-7,-0.309180443447,0.273030259856,-0.366063310621,0.169988966610,2.19161891714e-7,0.551489271691,0.0882877261953,0.170527984959,0.0555269009992,true,168,9.58905520440e-13,1.24894580689e-12,4,0.0159136083664,1,390
L1_Lyapunov_01,L2_Halo_01,3,0.258815711154,0.721801661254,0.510335861153,0.420682243601,0.00669867864167,0.157993457029,0.00523820959317,4.49131105640e-8,8.02845197545e-8,-2.99716838908e-8,-0.316039257139,0.288774388570,-0.366538286202,0.158222133721,9.67527438784e-8,0.563579430781,0.0880042642562,0.170811446898,0.0533096344208,true,154,8.22564260253e-16,8.20688051942e-16,4,0.0159136083664,2,390
