dep_orbit_id,arr_orbit_id,n_impulse,TOF,DV_total,departure_phase,arrival_phase,dv1_x,dv1_y,dv1_z,dv2_x,dv2_y,dv2_z,dv3_x,dv3_y,dv3_z,dv1_mag,dv2_mag,dv3_mag,t_leg1,t_leg2,min_moon_dist,lunar_valid,chain_id,position_residual,tof_idx,delta_C,rank,seeds_converged
L1_Lyapunov_01,L1_Halo_01,2,0.100000000000,0.516928004826,0.443877760169,0.418886693369,0.0695762438115,0.0945519925125,-0.211827950744,0.231361592067,0.0670239305554,-0.132155573007,,,,0.242181778232,0.274746226594,,0.100000000000,,0.0948829654133,true,213,1.78703934658e-14,1,-0.0000964296613502,1,400
L1_Lyapunov_01,L1_Halo_01,2,0.100000000000,0.516945478549,0.444267532864,0.419691828651,0.0750511004171,0.0968800272088,-0.218411404179,0.226080667754,0.0644664314408,-0.125518577073,,,,0.250443504251,0.266501974299,,0.100000000000,,0.0944325760836,true,47,6.62317710280e-14,1,-0.0000964296613502,2,400
L1_Lyapunov_01,L1_Halo_01,2,0.100000000000,0.518762433161,0.529878948489,0.618957198267,-0.225508477956,0.0656271064696,0.125027920506,-0.0761449781912,0.0984726968374,0.219906333634,,,,0.266069486487,0.252692946674,,0.100000000000,,0.0807105585665,true,216,1.85906681791e-14,1,-0.0000964296613502,3,400
L1_Lyapunov_01,L1_Halo_01,2,0.149206125071,0.505384615273,0.434393301224,0.423889801224,0.0649702007764,0.0663343378618,-0.172043937641,0.239511376049,0.0866441151638,-0.176508344916,,,,0.195500608305,0.309884006968,,0.149206125071,,0.0920345032358,true,69,7.09361458304e-14,2,-0.0000964296613502,1,400
L1_Lyapunov_01,L1_Halo_01,2,0.149206125071,0.505408483224,0.435237452821,0.425688660208,0.0731600470974,0.0694391588990,-0.182021994212,0.231997738766,0.0826090527174,-0.166566176343,,,,0.208101407147,0.297307076076,,0.149206125071,,0.0910471219844,true,85,3.09771742800e-13,2,-0.0000964296613502,2,400
L1_Lyapunov_01,L1_Halo_01,2,0.149206125071,0.505535316649,0.436371907115,0.427972161712,0.0838283490148,0.0740743489718,-0.194655230231,0.222140641608,0.0770786410654,-0.153907430101,,,,0.224510266871,0.281025049778,,0.149206125071,,0.0898003273891,true,50,1.68029695976e-13,2,-0.0000964296613502,3,400
L1_Lyapunov_01,L1_Halo_01,2,0.198412250143,0.502728011631,0.420834735728,0.420301516967,0.0335725192422,0.0400452759509,-0.116311104298,0.270572580365,0.109807930587,-0.235628165381,,,,0.127510827608,0.375217184023,,0.198412250143,,0.0939434094924,true,105,3.58041246144e-13,3,-0.0000964296613502,1,393
L1_Lyapunov_01,L1_Halo_01,2,0.198412250143,0.502732584671,0.420165244075,0.418692659849,0.0283825215423,0.0384616011240,-0.109413818366,0.274976273022,0.112816306640,-0.242084214465,,,,0.119399522359,0.383333062312,,0.198412250143,,0.0948402758998,true,108,6.97079475372e-14,3,-0.0000964296613502,2,393
L1_Lyapunov_01,L1_Halo_01,2,0.198412250143,0.507727934857,0.497222222003,0.604103962530,-0.0408962840865,-0.000176456055900,0.000720062047647,-0.246128131293,0.205245480620,0.339441824770,,,,0.0409030032904,0.466824931567,,0.198412250143,,0.0481114039967,true,331,3.68231651894e-12,3,-0.0000964296613502,3,393
L1_Lyapunov_01,L1_Halo_01,2,0.247618375214,0.494475529347,0.486111109163,0.603700950969,-0.0243289700652,0.00332864061907,-0.00176874995709,-0.252437689892,0.203583905646,0.339990788437,,,,0.0246192426613,0.469856286685,,0.247618375214,,0.0492862823573,true,211,2.35554136615e-14,4,-0.0000964296613502,1,399
L1_Lyapunov_01,L1_Halo_01,2,0.247618375214,0.501533451336,0.406986319926,0.415131393191,0.0118717326165,0.0248935096732,-0.0767184083080,0.290103920293,0.126633467482,-0.276062874113,,,,0.0815250822292,0.420008369106,,0.247618375214,,0.0967707212084,true,69,1.70812148951e-14,4,-0.0000964296613502,2,399
L1_Lyapunov_01,L1_Halo_01,2,0.247618375214,0.506612207845,0.536269362197,0.689142260287,-0.300907107905,0.144271485313,0.290216239500,0.000849391312085,0.0135566971091,0.0629128314038,,,,0.442249719878,0.0643624879674,,0.247618375214,,0.0909870908858,true,217,9.17606214150e-15,4,-0.0000964296613502,3,399
L1_Lyapunov_01,L1_Halo_01,2,0.296824500285,0.486317326961,0.474999999269,0.603425395658,-0.0159916759019,0.00263655343989,-0.00514204760987,-0.255243706267,0.201674013300,0.338280245570,,,,0.0170036985922,0.469313628369,,0.296824500285,,0.0497451658063,true,289,5.29765574354e-15,5,-0.0000964296613502,1,395
L1_Lyapunov_01,L1_Halo_01,2,0.296824500285,0.500786033828,0.394237151665,0.412174366331,0.00268143036329,0.0168061196399,-0.0563118025149,0.297914775270,0.135864449419,-0.296841933351,,,,0.0588273306263,0.441958703201,,0.296824500285,,0.0983761876573,true,172,5.54218505393e-14,5,-0.0000964296613502,2,395
L1_Lyapunov_01,L1_Halo_01,2,0.296824500285,0.505495728547,0.537502454570,0.711111114928,-0.303789589222,0.151107558455,0.304732630779,0.00511316719071,0.00641057972785,0.0487588465737,,,,0.456052173554,0.0494435549932,,0.296824500285,,0.0929767432339,true,233,4.62821965712e-11,5,-0.0000964296613502,3,395
